Abborrgrundet-Inkoo;188142; 3.0; 2.4;MW2013;POLYGON ((27.7020433774647 60.4487770871112, 27.7055084002909 60.4472713380439, 27.7146005866902 60.4511561456963, 27.7189352578333 60.456562736, 27.7236744815567 60.456812612382, 27.7236690554147 60.4572613304076, 27.7180467783976 60.4574739982463, 27.7136723958333 60.4527407243333, 27.7020433774647 60.4487770871112))
Akkasaari - Lappeenrannan satama väylä;148834; 4.8; 4.2;NN+75.10;POLYGON ((28.162284196 61.5264385213333, 28.1729017683333 61.5215230468333, 28.175433260766 61.5203848664688, 28.1783505947757 61.5191194644275, 28.1800203133435 61.5182076096543, 28.1876589261388 61.5113191337252, 28.1942125468042 61.512386304363, 28.1885103801667 61.5161129231667, 28.183237546896 61.517477065754, 28.1807267420886 61.5185030346163, 28.1790570285609 61.5194148979813, 28.1764586779013 61.5210158951679, 28.1734845933256 61.5230257083077, 28.1708393956667 61.5247957151667, 28.1607643607245 61.5315350029838, 28.162284196 61.5264385213333))
Akkasaari - Lappeenrannan satama väylä;148797; 4.8; 4.2;NN+75.10;POLYGON ((28.2051017053333 61.519365888, 28.2128793499757 61.5154257455679, 28.213978844976 61.5229500740643, 28.2103772168333 61.5287511141667, 28.2099624875 61.5309965731667, 28.2107862343333 61.5317606105, 28.2222176696667 61.5394284331667, 28.2242370599843 61.5424413590781, 28.2261551507322 61.5491230158192, 28.2152987723333 61.5415783383333, 28.2137524166667 61.5380394371667, 28.2086721665 61.5338839093333, 28.2088113058333 61.5300431118333, 28.2066027991104 61.5266145127865, 28.2057663254189 61.5208818887934, 28.2051017053333 61.519365888))
Akkasaari - Lappeenrannan satama väylä;149482; 4.8; 4.2;NN+75.10;POLYGON ((28.8709809724119 61.8566730849911, 28.8832195185 61.8596212696667, 28.889154923606 61.8589219160506, 28.8996238599049 61.8605898810721, 28.8980006952872 61.8619480763127, 28.8950550885068 61.861588906197, 28.8944719266267 61.8615177983369, 28.8907359691667 61.8610622503333, 28.8855846383002 61.8618602365693, 28.8812313335 61.8625345853333, 28.8770714980358 61.8654553431754, 28.8721051729648 61.8653933894193, 28.8710960183971 61.8585549269285, 28.8709809724119 61.8566730849911))
Akkasaari - Lappeenrannan satama väylä;148753; 4.8; 4.2;NN+75.10;POLYGON ((28.1942125468042 61.512386304363, 28.2029516956645 61.5138093022661, 28.2128793499757 61.5154257455679, 28.2051017053333 61.519365888, 28.1938814935 61.5161477015, 28.1885103801667 61.5161129231667, 28.1942125468042 61.512386304363))
Akkasaari - Lappeenrannan satama väylä;149420; 4.8; 4.2;NN+75.10;POLYGON ((28.523653718839 61.7066793977012, 28.5254948976521 61.7097355982469, 28.5250295150132 61.7100585055907, 28.5217975212076 61.7122170466314, 28.523653718839 61.7066793977012))
Akkasaari - Lappeenrannan satama väylä;149392; 4.8; 4.2;NN+75.10;POLYGON ((28.5170588445 61.753049937, 28.550068442 61.7587405415, 28.5635589763333 61.7645803243333, 28.5301315481128 61.757800754748, 28.5116335129322 61.7554457605997, 28.5170588445 61.753049937))
Akkasaari - Lappeenrannan satama väylä;149385; 4.8; 4.2;NN+75.10;POLYGON ((28.5058006043333 61.7396762263333, 28.5121195553333 61.7413245451667, 28.5138929890336 61.7455350171433, 28.5170588445 61.753049937, 28.5116335129322 61.7554457605997, 28.5076621190502 61.7472037066443, 28.5079300008333 61.7425739781667, 28.5058006043333 61.7396762263333))
Akkasaari - Lappeenrannan satama väylä;75936; 4.8; 4.2;NN+75.10;POLYGON ((28.5005275064311 61.6088774917956, 28.5020062056924 61.6100708160625, 28.513380902 61.6139876921667, 28.5196927715392 61.6139233345667, 28.5580529299868 61.6164593912859, 28.5563529896813 61.6217672490682, 28.5523162357687 61.6181903951812, 28.5194116738757 61.6159304577625, 28.5109507572467 61.6145162520278, 28.4982047627614 61.6134426090351, 28.5005275064311 61.6088774917956))
Akkasaari - Lappeenrannan satama väylä;96993; 4.8; 4.2;NN+75.10;POLYGON ((28.5608687200147 61.6335658994216, 28.5516089067329 61.6493688866303, 28.5472054541941 61.6531269488107, 28.5442818298468 61.6568427271308, 28.5415638259866 61.665574302255, 28.5419340925774 61.6745301547568, 28.5362620781402 61.6927302321263, 28.531371467 61.6969348016667, 28.5301018533333 61.7042622418333, 28.5254948976521 61.7097355982469, 28.523653718839 61.7066793977012, 28.5253537939811 61.7050359611882, 28.5289092120296 61.6936480548683, 28.5280924083201 61.684026486641, 28.5366376807894 61.6566140292205, 28.5456449225615 61.6412596715691, 28.5532588382416 61.635047682327, 28.5551808967043 61.6326984183254, 28.5552696841164 61.6318570605257, 28.5608687200147 61.6335658994216))
Akkasaari - Lappeenrannan satama väylä;75929; 5.2; 4.2;NN+75.10;POLYGON ((28.5580529299868 61.6164593912859, 28.5607657966547 61.6253559374217, 28.5567591554268 61.6276508594048, 28.5584688709416 61.6314945129168, 28.5608687200147 61.6335658994216, 28.5552696841164 61.6318570605257, 28.5541186759898 61.6287407608436, 28.5563529896813 61.6217672490682, 28.5580529299868 61.6164593912859))
Akonniemen väylät;218053; 3.4; 2.8;MW2005;POLYGON ((22.9222845796866 59.8084468985945, 22.9232405521106 59.8088522783264, 22.9209888616667 59.8094404181667, 22.9198982797746 59.8097917295308, 22.918965007751 59.8103400054527, 22.9183007735159 59.8105906951981, 22.9173626570862 59.8103279259249, 22.9181088504259 59.8100463181231, 22.9188278457886 59.810023108886, 22.9207797263333 59.8092950815, 22.9222845796866 59.8084468985945))
Andra Sjöns väylä;202003; 3.2; 2.4;MW2010;POLYGON ((21.1774824436357 62.9368541693028, 21.1805874121667 62.9323465731667, 21.1824594975 62.9294607556667, 21.182543521 62.928727681, 21.1832127954409 62.928722327216, 21.1831838558386 62.9288165645922, 21.1828690568473 62.9288438869064, 21.1829092950939 62.9289828916654, 21.1838466554968 62.9290592410487, 21.1841002982631 62.928985829427, 21.1842179325 62.9289094201667, 21.1841879534152 62.9288376868056, 21.1835378285308 62.9287577907152, 21.1835464639324 62.9285648941266, 21.1839984931667 62.9284476785, 21.1842552741667 62.9285864006667, 21.1843558155 62.9289226973333, 21.1835721753333 62.9295274961667, 21.1816256593333 62.9324582813333, 21.1798076288243 62.9366832832628, 21.1774824436357 62.9368541693028))
Asterholmin väylä;202360; 6.5; 5.5;MW2005;POLYGON ((21.8404571429924 60.3345320993554, 21.8428255907743 60.342410039852, 21.8409232268106 60.3426392651677, 21.8367653204811 60.3431402663996, 21.7412603766899 60.3546458790798, 21.7327832306391 60.3581899003804, 21.7416685721297 60.3485639336523, 21.7450085152259 60.3505944426775, 21.8283321894777 60.3405588801992, 21.8404571429924 60.3345320993554))
Asterholmin väylä;223277; 6.5; 5.5;MW 2005;POLYGON ((21.8896050208745 60.2561183815176, 21.8917691147852 60.2526218520475, 21.8978633663075 60.2560900499699, 21.8896050208745 60.2561183815176))
Asterholmin väylä;202397; 6.5; 5.5;MW2005;POLYGON ((21.8921915653692 60.2688722739642, 21.8792449858333 60.2881916901667, 21.8440401155597 60.3406049950912, 21.8428255907743 60.342410039852, 21.8404571429924 60.3345320993554, 21.8474724621667 60.3200395473333, 21.8818154403633 60.2688707874147, 21.8921915653692 60.2688722739642))
Avokansaari - Anttola väylä;160024; 3.6; 3.0;NN+75.10;POLYGON ((29.3235615923333 61.7368816461667, 29.3304631888333 61.7378485503333, 29.3332346713333 61.7391275513333, 29.322654785 61.73945385, 29.3235615923333 61.7368816461667))
Avokansaari - Anttola väylä;160030; 3.6; 3.0;NN+75.10;POLYGON ((29.3304631888333 61.7378485503333, 29.3326936068333 61.7370486821667, 29.3538004811667 61.7224156425, 29.3697286378333 61.7126855926667, 29.3776145318333 61.7111845016667, 29.3842515335198 61.7089257223989, 29.3856307081667 61.7098502035, 29.3819832 61.7107322731667, 29.377906227 61.7120957148333, 29.3717814965 61.713193346, 29.3622852801667 61.7187215895, 29.3431156823333 61.7326886283333, 29.3359279211667 61.7384256245, 29.3332346713333 61.7391275513333, 29.3304631888333 61.7378485503333))
Avomeri - Hundkubb - Prästö;229537; 3.4; 2.4;MW2017;POLYGON ((20.9051722197535 60.2933826938623, 20.9126427702385 60.2931500954911, 20.9357516642617 60.2984513950181, 20.9522027201667 60.2979740198333, 20.9506342755526 60.2993808941761, 20.935029326818 60.3002630359517, 20.9051722197535 60.2933826938623))
Avomeri - Hundkubb - Prästö;229809; 3.4; 3.0;MW2017;POLYGON ((20.9506342755526 60.2993808941761, 20.9522027201667 60.2979740198333, 20.9534365531576 60.2979381208791, 20.9536750037257 60.302271999444, 20.9537987480328 60.3045206212321, 20.9522829987591 60.3044098712432, 20.9525193907553 60.3036132883174, 20.9517243262435 60.3001288862354, 20.9506342755526 60.2993808941761))
